Initializing benchmark subset...
Discovered 2000 files for benchmarking.

--- RUNTIME ANALYSIS ---
Total files scanned: 2000
Total time elapsed:  12.6704 seconds
Throughput:          157.92 files/second
Findings discovered: 7395
------------------------
         7288097 function calls (7279784 primitive calls) in 14.357 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      5/4    0.000    0.000    0.004    0.001 _migration.py:251(getattr_migration)
     2000    0.002    0.000    0.004    0.000 __init__.py:5896(needs_pass)
        1    0.000    0.000    0.004    0.004 extra.py:1(<module>)
      341    0.001    0.000    0.004    0.000 typing.py:1330(__init__)
      414    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 pdffont.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
    12002    0.002    0.000    0.003    0.000 threading.py:264(__enter__)
        2    0.000    0.000    0.003    0.002 errors.py:1(<module>)
     2004    0.003    0.000    0.003    0.000 weakref.py:289(update)
        2    0.000    0.000    0.003    0.002 util.py:447(spawnv_passfds)
        1    0.000    0.000    0.003    0.003 _decorators.py:1(<module>)
     3985    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.003    0.002    0.003    0.002 {built-in method _posixsubprocess.fork_exec}
        1    0.000    0.000    0.003    0.003 types.py:1(<module>)
    12002    0.002    0.000    0.003    0.000 threading.py:267(__exit__)
     2000    0.002    0.000    0.003    0.000 threading.py:433(acquire)
     2000    0.002    0.000    0.003    0.000 _base.py:428(result)
     2000    0.001    0.000    0.003    0.000 _base.py:144(__init__)
        2    0.000    0.000    0.003    0.001 _generate_schema.py:2659(wrap_default)
        2    0.000    0.000    0.003    0.001 _fields.py:689(takes_validated_data_argument)
        2    0.000    0.000    0.003    0.001 _typing_extra.py:575(signature_no_eval)
        1    0.000    0.000    0.003    0.003 inspect.py:2180(_signature_fromstr)
   105249    0.003    0.000    0.003    0.000 {method 'is_dir' of 'posix.DirEntry' objects}
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
      519    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.003    0.003 inspect.py:2108(_signature_strip_non_python_syntax)
     2000    0.001    0.000    0.003    0.000 mupdf.py:47901(fz_is_document_reflowable)
        1    0.000    0.000    0.003    0.003 classifier.py:1(<module>)
       12    0.000    0.000    0.003    0.000 tokenize.py:433(_tokenize)
  161/124    0.000    0.000    0.003    0.000 typing.py:458(__getitem__)
        1    0.000    0.000    0.003    0.003 tokenize.py:99(_compile)
      551    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1375    0.000    0.000    0.003    0.000 typing.py:159(_type_convert)
        1    0.000    0.000    0.003    0.003 process.py:751(_spawn_process)
      722    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        1    0.000    0.000    0.003    0.003 process.py:110(start)
        1    0.000    0.000    0.003    0.003 pii_scanner.py:1(<module>)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        1    0.000    0.000    0.003    0.003 context.py:285(_Popen)
        1    0.000    0.000    0.002    0.002 events.py:1(<module>)
        1    0.000    0.000    0.002    0.002 cmapdb.py:1(<module>)
    13563    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.002    0.002 __init__.py:1001(version)
      114    0.000    0.000    0.002    0.000 typing.py:635(Union)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
      694    0.000    0.000    0.002    0.000 typing.py:815(__init__)
    14000    0.002    0.000    0.002    0.000 {built-in method pymupdf._mupdf.new_FzErrorGeneric}
     2001    0.001    0.000    0.002    0.000 <frozen _collections_abc>:933(clear)
     2000    0.002    0.000    0.002    0.000 {built-in method pymupdf._mupdf.fz_is_document_reflowable}
        5    0.000    0.000    0.002    0.000 resource_tracker.py:153(register)
        5    0.000    0.000    0.002    0.000 resource_tracker.py:161(_send)
        6    0.000    0.000    0.002    0.000 resource_tracker.py:78(ensure_running)
      324    0.002    0.000    0.002    0.000 _compiler.py:241(_optimize_charset)
       70    0.000    0.000    0.002    0.000 dataclasses.py:588(_repr_fn)
      695    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     2000    0.002    0.000    0.002    0.000 weakref.py:121(_commit_removals)
     2000    0.001    0.000    0.002    0.000 threading.py:594(clear)
        2    0.000    0.000    0.002    0.001 abc.py:1(<module>)
     7919    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.002    0.002 popen_spawn_posix.py:30(__init__)
        1    0.000    0.000    0.002    0.002 popen_fork.py:15(__init__)
      770    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:392(cached)
       70    0.000    0.000    0.002    0.000 dataclasses.py:624(_cmp_fn)
      871    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        1    0.000    0.000    0.002    0.002 popen_spawn_posix.py:38(_launch)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
     2001    0.001    0.000    0.002    0.000 threading.py:359(notify)
        1    0.000    0.000    0.002    0.002 _config.py:1(<module>)
       15    0.000    0.000    0.002    0.000 __init__.py:914(<genexpr>)
       13    0.000    0.000    0.002    0.000 enum.py:894(_convert_)
        1    0.000    0.000    0.002    0.002 state_manager.py:1(<module>)
       13    0.000    0.000    0.002    0.000 __init__.py:812(search)
        2    0.000    0.000    0.002    0.001 table.py:1(<module>)
     2000    0.000    0.000    0.002    0.000 mupdf.py:49096(fz_needs_password)
        1    0.000    0.000    0.002    0.002 encodingdb.py:1(<module>)
     9152    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      409    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _tzpath.py:1(<module>)
        9    0.000    0.000    0.002    0.000 __init__.py:821(lookup)
        9    0.000    0.000    0.002    0.000 __init__.py:827(__init__)
     3985    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       17    0.000    0.000    0.002    0.000 _functools.py:75(wrapper)
     2637    0.001    0.000    0.002    0.000 typing.py:1274(__setattr__)
       40    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
        1    0.000    0.000    0.002    0.002 json_schema.py:1(<module>)
        1    0.000    0.000    0.002    0.002 functional_validators.py:1(<module>)
      430    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
       18    0.001    0.000    0.002    0.000 enum.py:1645(convert_class)
      290    0.001    0.000    0.002    0.000 dataclasses.py:723(_get_field)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
     4002    0.001    0.000    0.001    0.000 threading.py:279(_is_owned)
     2000    0.001    0.000    0.001    0.000 mupdf.py:47981(fz_is_infinite_rect)
     4584    0.001    0.000    0.001    0.000 _parser.py:252(get)
       80    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      134    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
     2000    0.001    0.000    0.001    0.000 _weakrefset.py:21(__enter__)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        2    0.000    0.000    0.001    0.001 modes.py:1(<module>)
      122    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     2000    0.001    0.000    0.001    0.000 {built-in method pymupdf._mupdf.fz_needs_password}
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
        1    0.000    0.000    0.001    0.001 resource_tracker.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _tzpath.py:5(reset_tzpath)
        1    0.000    0.000    0.001    0.001 dbapi2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sysconfig.py:709(get_config_var)
        2    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
      2/1    0.000    0.000    0.001    0.001 sysconfig.py:629(get_config_vars)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
     2000    0.001    0.000    0.001    0.000 {built-in method pymupdf._mupdf.FzRect_swiginit}
       21    0.000    0.000    0.001    0.000 dataclasses.py:599(_frozen_get_del_attr)
        1    0.000    0.000    0.001    0.001 __init__.py:629(version)
        1    0.000    0.000    0.001    0.001 __init__.py:602(metadata)
     2002    0.001    0.000    0.001    0.000 {built-in method _struct.pack}
        1    0.000    0.000    0.001    0.001 _fields.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tarfile.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:975(distribution)
        1    0.000    0.000    0.001    0.001 __init__.py:549(from_name)
     2004    0.001    0.000    0.001    0.000 threading.py:90(RLock)
        1    0.000    0.000    0.001    0.001 introspection.py:1(<module>)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 staggered.py:1(<module>)
     6866    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     2000    0.001    0.000    0.001    0.000 weakref.py:252(popitem)
     2000    0.001    0.000    0.001    0.000 _base.py:147(__enter__)
     5045    0.001    0.000    0.001    0.000 _parser.py:162(__getitem__)
      345    0.000    0.000    0.001    0.000 typing.py:1235(__init__)
      583    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      409    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
     2000    0.000    0.000    0.001    0.000 process.py:718(_start_executor_manager_thread)
        1    0.000    0.000    0.001    0.001 _mock_val_ser.py:1(<module>)
       28    0.000    0.000    0.001    0.000 typing.py:464(__getitem__)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
     2001    0.001    0.000    0.001    0.000 threading.py:276(_acquire_restore)
      174    0.000    0.000    0.001    0.000 typing_extensions.py:3228(_collect_parameters)
    18700    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
  842/166    0.001    0.000    0.001    0.000 _parser.py:172(getwidth)
    13177    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:32(message_from_string)
       80    0.000    0.000    0.001    0.000 _compiler.py:509(_compile_info)
       31    0.000    0.000    0.001    0.000 enum.py:486(__new__)
       26    0.000    0.000    0.001    0.000 typing.py:684(Literal)
      671    0.000    0.000    0.001    0.000 dataclasses.py:664(_is_type)
    14525    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     5577    0.001    0.000    0.001    0.000 _parser.py:231(__next)
     2839    0.001    0.000    0.001    0.000 typing.py:1223(_is_dunder)
        1    0.000    0.000    0.001    0.001 _utils.py:1(<module>)
       37    0.000    0.000    0.001    0.000 typing.py:675(Optional)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 converter.py:1(<module>)
      722    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2000    0.001    0.000    0.001    0.000 queue.py:213(_put)
        1    0.000    0.000    0.001    0.001 structure.py:1(<module>)
       60    0.000    0.000    0.001    0.000 typing.py:1528(__getitem__)
        1    0.001    0.001    0.001    0.001 {method 'clear' of 'set' objects}
        3    0.000    0.000    0.001    0.000 _model_construction.py:566(set_model_fields)
        1    0.000    0.000    0.001    0.001 fractions.py:1(<module>)
     4328    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        3    0.000    0.000    0.001    0.000 _fields.py:224(collect_model_fields)
       90    0.000    0.000    0.001    0.000 __init__.py:400(_from_text_for)
        1    0.000    0.000    0.001    0.001 _repr.py:1(<module>)
      162    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
     5489    0.001    0.000    0.001    0.000 typing.py:865(__eq__)
        1    0.000    0.000    0.001    0.001 unix_events.py:1(<module>)
      183    0.000    0.000    0.001    0.000 pathlib.py:484(_parse_args)
        1    0.000    0.000    0.001    0.001 aliases.py:1(<module>)
     2000    0.001    0.000    0.001    0.000 _base.py:223(<genexpr>)
     8002    0.001    0.000    0.001    0.000 {built-in method time.monotonic}
     2000    0.001    0.000    0.001    0.000 {built-in method pymupdf._mupdf.fz_is_infinite_rect}
     2000    0.001    0.000    0.001    0.000 process.py:140(__init__)
        1    0.000    0.000    0.001    0.001 big5.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
